Nick Diaz,Jeremy Jackson,2003-09-26 00:00:00,16
Hermes Franca,Caol Uno,2003-09-26 00:00:00,17
Matt Hughes,Frank Trigg,2003-11-21 00:00:00,12
Matt Lindland,Falaniko Vitale,2003-11-21 00:00:00,15
Wesley Correira,David Abbott,2003-11-21 00:00:00,16
Evan Tanner,Phil Baroni,2003-11-21 00:00:00,15
Robbie Lawler,Chris Lytle,2003-11-21 00:00:00,15
Pedro Rizzo,Ricco Rodriguez,2003-11-21 00:00:00,18
Keith Rockel,Chris Liguori,2003-11-21 00:00:00,17
Yves Edwards,Nick Agallar,2003-11-21 00:00:00,16
Vitor Belfort,Randy Couture,2004-01-31 00:00:00,19
Renato Verissimo,Carlos Newton,2004-01-31 00:00:00,17
BJ Penn,Matt Hughes,2004-01-31 00:00:00,18
Frank Mir,Wes Sims,2004-01-31 00:00:00,14
Lee Murray,Jorge Rivera,2004-01-31 00:00:00,17
Georges St-Pierre,Karo Parisyan,2004-01-31 00:00:00,17
Josh Thomson,Hermes Franca,2004-01-31 00:00:00,17
Matt Serra,Jeff Curran,2004-01-31 00:00:00,17
Chuck Liddell,Tito Ortiz,2004-04-02 00:00:00,17
Chris Lytle,Tiki Ghosn,2004-04-02 00:00:00,16
Yves Edwards,Hermes Franca,2004-04-02 00:00:00,16
Andrei Arlovski,Wesley Correira,2004-04-02 00:00:00,16
Nick Diaz,Robbie Lawler,2004-04-02 00:00:00,18
Mike Kyle,Wes Sims,2004-04-02 00:00:00,15
Jonathan Wiezorek,Wade Shipp,2004-04-02 00:00:00,16
Genki Sudo,Mike Brown,2004-04-02 00:00:00,17
Ken Shamrock,Kimo Leopoldo,2004-06-19 00:00:00,14
Frank Trigg,Dennis Hallman,2004-06-19 00:00:00,17
Frank Mir,Tim Sylvia,2004-06-19 00:00:00,16
Matt Hughes,Renato Verissimo,2004-06-19 00:00:00,13
Evan Tanner,Phil Baroni,2004-06-19 00:00:00,13
Matt Serra,Ivan Menjivar,2004-06-19 00:00:00,16
Georges St-Pierre,Jay Hieron,2004-06-19 00:00:00,16
Trevor Prangley,Curtis Stout,2004-06-19 00:00:00,16
Randy Couture,Vitor Belfort,2004-08-21 00:00:00,16
Joe Riggs,Joe Doerksen,2004-08-21 00:00:00,16
Chuck Liddell,Vernon White,2004-08-21 00:00:00,12
David Terrell,Matt Lindland,2004-08-21 00:00:00,20
Justin Eilers,Mike Kyle,2004-08-21 00:00:00,17
Chris Lytle,Ronald Jhun,2004-08-21 00:00:00,17
Karo Parisyan,Nick Diaz,2004-08-21 00:00:00,18
Yves Edwards,Josh Thomson,2004-08-21 00:00:00,16
